race,gender,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,Female,2427.0,0.0,0.8891635764318088,0.11083642356819123,0.0,0.0
AfricanAmerican,Male,1526.0,0.0,0.8840104849279161,0.11598951507208388,0.0,0.0
Asian,Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian,Male,77.0,0.0,0.8311688311688312,0.16883116883116878,0.0,0.0
Caucasian,Female,7898.0,0.0006330716637123322,0.884907571537098,0.11509242846290202,0.0011037527593818985,0.0005720823798627002
Caucasian,Male,7243.0,0.00041419301394449815,0.891067237332597,0.10893276266740304,0.0012690355329949238,0.00030983733539891554
Hispanic,Female,218.0,0.0,0.9174311926605505,0.08256880733944949,0.0,0.0
Hispanic,Male,193.0,0.0,0.8601036269430051,0.13989637305699487,0.0,0.0
Other,Female,144.0,0.0,0.8680555555555556,0.13194444444444442,0.0,0.0
Other,Male,154.0,0.0,0.9090909090909091,0.09090909090909094,0.0,0.0
Unknown,Female,191.0,0.0,0.9109947643979057,0.08900523560209428,0.0,0.0
Unknown,Male,218.0,0.0,0.9036697247706422,0.09633027522935778,0.0,0.0
