race,gender,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,Female,2427.0,0.00288421920065925,0.8871034198599094,0.11289658014009063,0.0037174721189591076,0.0027803521779425394
AfricanAmerican,Male,1526.0,0.001965923984272608,0.8820445609436435,0.11795543905635653,0.0,0.002223869532987398
Asian,Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian,Male,77.0,0.0,0.8311688311688312,0.16883116883116878,0.0,0.0
Caucasian,Female,7898.0,0.002025829323879463,0.8845277285388706,0.11547227146112937,0.005518763796909493,0.0015732265446224256
Caucasian,Male,7243.0,0.0019329007317409914,0.8903769156426895,0.1096230843573105,0.005076142131979695,0.001549186676994578
Hispanic,Female,218.0,0.0,0.9174311926605505,0.08256880733944949,0.0,0.0
Hispanic,Male,193.0,0.0,0.8601036269430051,0.13989637305699487,0.0,0.0
Other,Female,144.0,0.0,0.8680555555555556,0.13194444444444442,0.0,0.0
Other,Male,154.0,0.0,0.9090909090909091,0.09090909090909094,0.0,0.0
Unknown,Female,191.0,0.0,0.9109947643979057,0.08900523560209428,0.0,0.0
Unknown,Male,218.0,0.0,0.9036697247706422,0.09633027522935778,0.0,0.0
