race,gender,count,selection_rate,accuracy,error_rate,TPR,FPR
AfricanAmerican,Female,2427.0,0.02595797280593325,0.8722702925422332,0.1277297074577668,0.040892193308550186,0.024096385542168676
AfricanAmerican,Male,1526.0,0.030799475753604193,0.8623853211009175,0.13761467889908252,0.03954802259887006,0.029651593773165306
Asian,Female,65.0,0.0,0.9692307692307692,0.03076923076923077,0.0,0.0
Asian,Male,77.0,0.0,0.8311688311688312,0.16883116883116878,0.0,0.0
Caucasian,Female,7898.0,0.026842238541402885,0.8680678652823499,0.13193213471765008,0.04194260485651214,0.02488558352402746
Caucasian,Male,7243.0,0.01836255695153942,0.8794698329421511,0.12053016705784891,0.030456852791878174,0.016886134779240898
Hispanic,Female,218.0,0.022935779816513763,0.8944954128440367,0.10550458715596334,0.0,0.025
Hispanic,Male,193.0,0.02072538860103627,0.8393782383419689,0.1606217616580311,0.0,0.024096385542168676
Other,Female,144.0,0.027777777777777776,0.8402777777777778,0.1597222222222222,0.0,0.032
Other,Male,154.0,0.01948051948051948,0.8896103896103896,0.11038961038961037,0.0,0.02142857142857143
Unknown,Female,191.0,0.005235602094240838,0.9057591623036649,0.09424083769633507,0.0,0.005747126436781609
Unknown,Male,218.0,0.009174311926605505,0.8944954128440367,0.10550458715596334,0.0,0.01015228426395939
